Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Nigeria/CV853/2021	EPI_ISL_1235649	2021-01-26	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV854/2021	EPI_ISL_1235650	2021-01-08	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV855/2021	EPI_ISL_1235651	2021-01-27	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (1.34% of overall sequence). Gap of 24 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV856/2021	EPI_ISL_1235652	2021-01-27	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV857/2021	EPI_ISL_1235653	2021-01-27	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV858/2021	EPI_ISL_1235654	2021-01-27	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV860/2021	EPI_ISL_1235655	2021-01-27	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (3.30% of overall sequence). Gap of 21 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage.	warn	B.1.525	G
hCoV-19/Nigeria/CV866/2021	EPI_ISL_1235656	2021-01-31	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV868/2021	EPI_ISL_1235657	2021-01-27	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV869/2021	EPI_ISL_1235658	2021-01-27	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV870/2021	EPI_ISL_1235659	2021-01-27	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV871/2021	EPI_ISL_1235660	2021-01-28	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV872/2021	EPI_ISL_1235661	2021-01-28	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV873/2021	EPI_ISL_1235662	2021-01-28	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV874/2021	EPI_ISL_1235663	2021-01-28	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV875/2021	EPI_ISL_1235664	2021-01-28	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV876/2021	EPI_ISL_1235665	2021-02-03	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (3.21% of overall sequence). Gap of 15 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV879/2021	EPI_ISL_1235667	2021-02-03	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV889/2021	EPI_ISL_1242009	2021-02-11	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV891/2021	EPI_ISL_1242010	2021-02-11	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV892/2021	EPI_ISL_1242011	2021-02-11	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (1.27% of overall sequence). Gap of 24 nucleotides when compared to the reference sequence.	warn	B.1	G
hCoV-19/Nigeria/CV894/2021	EPI_ISL_1242013	2021-02-11	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 21 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV895/2021	EPI_ISL_1242014	2021-02-12	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (4.22% of overall sequence). Gap of 21 nucleotides when compared to the reference sequence.	warn	B.1	G
hCoV-19/Nigeria/CV898/2021	EPI_ISL_1242016	2021-02-16	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV899/2021	EPI_ISL_1242017	2021-02-16	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (3.88% of overall sequence). Gap of 21 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV902/2021	EPI_ISL_1242018	2021-02-17	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV905/2021	EPI_ISL_1242019	2021-02-17	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (1.99% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Nigeria/CV912/2021	EPI_ISL_1242022	2021-01-13	Africa / Nigeria / Benue State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (1.22% of overall sequence). Gap of 18 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV913/2021	EPI_ISL_1242023	2021-01-13	Africa / Nigeria / Benue State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV915/2021	EPI_ISL_1242024	2021-01-18	Africa / Nigeria / Benue State	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (4.49% of overall sequence). Gap of 15 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV916/2021	EPI_ISL_1242025	2021-01-06	Africa / Nigeria / Nasarawa State	Human	Original			Illumina MiSeq	Viral-ngs v2.1			L.3	GR
hCoV-19/Nigeria/CV918/2021	EPI_ISL_1242026	2021-01-09	Africa / Nigeria / Plateau State	Human	Original			Illumina MiSeq	Viral-ngs v2.1			B.1.1.487	GR
hCoV-19/Nigeria/CV921/2021	EPI_ISL_1242027	2021-01-03	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.1	Stretches of NNNs (1.01% of overall sequence).	warn	L.3	GR
hCoV-19/Nigeria/CV924/2021	EPI_ISL_1242028	2021-01-03	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.1			L.3	GR
hCoV-19/Nigeria/NCDC-FCT-6k/2021	EPI_ISL_1381746	2021-01-03	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Stretches of NNNs (2.99% of overall sequence).	warn	L.3	GR
hCoV-19/Nigeria/NCDC-FCT-2N/2021	EPI_ISL_1627088	2021-02-13	Africa / Nigeria / Adamawa	Human	Original	Nasopharyngeal and oropharyngeal swab		Sanger, Nanopore MinION		Stretches of NNNs (4.71% of overall sequence). Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1	G
hCoV-19/Nigeria/Lagos01/2020	EPI_ISL_413550	2020-02-27	Africa / Nigeria / Lagos	Human	Original	Sputum		Illumina MiSeq	Viral-ngs v1.25.0	Stretches of NNNs (1.15% of overall sequence).	warn	B.1.1	GR
hCoV-19/Nigeria/KW017-CV24/2020	EPI_ISL_455362	2020-04-10	Africa / Nigeria / Kwara State	Human	Original	Saliva and Nasopharyngeal Swab		Illumina MiSeq	viral-ngs v2.0			B.1	GH
hCoV-19/Nigeria/OG007-CV22/2020	EPI_ISL_455412	2020-03-29	Africa / Nigeria / Ogun State	Human	Original	Throat and Nasal Swab		Illumina MiSeq	viral-ngs v2.0			B.40	V
hCoV-19/Nigeria/OS016-CV3/2020	EPI_ISL_455413	2020-03-27	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasal Swab		Illumina MiSeq	viral-ngs v2.0			B.40	V
hCoV-19/Nigeria/OS029-CV4/2020	EPI_ISL_455414	2020-03-29	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	viral-ngs v2.0	Long stretches of NNNs (19.73% of overall sequence).	warn	A	S
hCoV-19/Nigeria/OS030-CV5/2020	EPI_ISL_455415	2020-03-29	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	viral-ngs v2.0	Stretches of NNNs (3.36% of overall sequence).	warn	A	S
hCoV-19/Nigeria/OS055-CV8/2020	EPI_ISL_455418	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0	Stretches of NNNs (2.48% of overall sequence).	warn	A	S
hCoV-19/Nigeria/OS060-CV9/2020	EPI_ISL_455419	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0			B.1.476	GH
hCoV-19/Nigeria/OS070-CV11/2020	EPI_ISL_455422	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0			A	S
hCoV-19/Nigeria/OS075-CV12/2020	EPI_ISL_455423	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0			A	S
hCoV-19/Nigeria/OS085-CV14/2020	EPI_ISL_455424	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0			A	S
hCoV-19/Nigeria/OS122-CV18/2020	EPI_ISL_455426	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0			A	S
hCoV-19/Nigeria/OS125-CV20/2020	EPI_ISL_455427	2020-03-29	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.0	Stretches of NNNs (3.77% of overall sequence). NSP11 without BLAST coverage.	warn	A	S
hCoV-19/Nigeria/OY008-CV29/2020	EPI_ISL_455429	2020-03-27	Africa / Nigeria / Oyo State	Human	Original	Saliva and Nasal swab		Illumina MiSeq	viral-ngs v2.0			B.1	GH
hCoV-19/Nigeria/OY045A-CV35/2020	EPI_ISL_455431	2020-04-02	Africa / Nigeria / Oyo State	Human	Original	Saliva and Nasal swab		Illumina MiSeq	viral-ngs v2.0			B.40	V
hCoV-19/Nigeria/NG57752/2020	EPI_ISL_462992	2020-03	Africa / Nigeria	Human	unknown			unknown				B.1.1.487	GR
hCoV-19/Nigeria/OY233-CV66/2020	EPI_ISL_487091	2020-05-13	Africa / Nigeria / Oyo State	Human	Original			Illumina MiSeq	viral-ngs v2.0			B.1.462	GH
hCoV-19/Nigeria/EK254-CV60/2020	EPI_ISL_487096	2020-05-19	Africa / Nigeria / Ekiti State	Human	Original			Illumina MiSeq	viral-ngs v2.0	Stretches of NNNs (2.78% of overall sequence).	warn	B.1.1	GR
hCoV-19/Nigeria/EK025-CV58/2020	EPI_ISL_487098	2020-04-19	Africa / Nigeria / Ekiti State	Human	Original	Nasal swab		Illumina MiSeq	viral-ngs v2.0	Stretches of NNNs (2.46% of overall sequence).	warn	B.1.1.487	GR
hCoV-19/Nigeria/OY094-CV57/2020	EPI_ISL_487099	2020-04-24	Africa / Nigeria / Oyo State	Human	Original	Nasal swab		Illumina MiSeq	viral-ngs v2.0			B.1.1	GR
hCoV-19/Nigeria/OY260-CV55/2020	EPI_ISL_487101	2020-05-16	Africa / Nigeria / Oyo State	Human	Original			Illumina MiSeq	viral-ngs v2.0			B.1.336	GH
hCoV-19/Nigeria/EK220-CV54/2020	EPI_ISL_487102	2020-05-14	Africa / Nigeria / Ekiti State	Human	Original			Illumina MiSeq	viral-ngs v2.0			B.1.1	GR
hCoV-19/Nigeria/KW326-CV52/2020	EPI_ISL_487103	2020-05-09	Africa / Nigeria / Kwara State	Human	Original			Illumina MiSeq	viral-ngs v2.0			B.1.1.487	GR
hCoV-19/Nigeria/OY175-CV51/2020	EPI_ISL_487104	2020-05-03	Africa / Nigeria / Oyo State	Human	Original	Nasal swab		Illumina MiSeq	viral-ngs v2.0	Stretches of NNNs (1.58% of overall sequence).	warn	B.1	GH
hCoV-19/Nigeria/EK084-CV50/2020	EPI_ISL_487105	2020-04-23	Africa / Nigeria / Ekiti State	Human	Original	Nasal swab		Illumina MiSeq	viral-ngs v2.0			B.1.1.487	GR
hCoV-19/Nigeria/ON191-CV49/2020	EPI_ISL_487106	2020-06-30	Africa / Nigeria / Ondo State	Human	Original			Illumina MiSeq	viral-ngs v2.0			B.1	GH
hCoV-19/Nigeria/KW298-CV48/2020	EPI_ISL_487107	2020-05-08	Africa / Nigeria / Kwara State	Human	Original			Illumina MiSeq	viral-ngs v2.0			A	S
hCoV-19/Nigeria/EK082-CV47/2020	EPI_ISL_487108	2020-04-23	Africa / Nigeria / Ekiti State	Human	Original	Nasal swab		Illumina MiSeq	viral-ngs v2.0			B.1.1.487	GR
hCoV-19/Nigeria/OS589-CV46/2020	EPI_ISL_487109	2020-05-29	Africa / Nigeria / Osun State	Human	Original			Illumina MiSeq	viral-ngs v2.0	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.22	GH
hCoV-19/Nigeria/OS524-CV45/2020	EPI_ISL_487110	2020-05-11	Africa / Nigeria / Osun State	Human	Original	Saliva and Nasal Swab		Illumina MiSeq	viral-ngs v2.0			B.1.22	GH
hCoV-19/Nigeria/ON507-CV44/2020	EPI_ISL_487111	2020-05-24	Africa / Nigeria / Ondo State	Human	Original			Illumina MiSeq	viral-ngs v2.0	Gap of 12 nucleotides when compared to the reference sequence.	info	B.1.1.10	GR
hCoV-19/Nigeria/ON505-CV43/2020	EPI_ISL_487112	2020-05-24	Africa / Nigeria / Ondo State	Human	Original			Illumina MiSeq	viral-ngs v2.0			B.1.462	GH
hCoV-19/Nigeria/OS294-CV42/2020	EPI_ISL_487113	2020-04-23	Africa / Nigeria / Osun State	Human	Original	Nasal swab		Illumina MiSeq	viral-ngs v2.0			B.1	G
hCoV-19/Nigeria/AB03-CV135/2020	EPI_ISL_527872	2020-05-12	Africa / Nigeria / Ebonyi	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (1.06% of overall sequence).	warn	B.1	G
hCoV-19/Nigeria/ED01-CV155/2020	EPI_ISL_527873	2020-02-21	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs			B.40	V
hCoV-19/Nigeria/ED02-CV156/2020	EPI_ISL_527874	2020-03-23	Africa / Nigeria / Rivers	Human	Original			Illumina MiSeq	viral-ngs			B.40	V
hCoV-19/Nigeria/ED03-CV157/2020	EPI_ISL_527875	2020-03-26	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (2.94% of overall sequence).	warn	B.40	V
hCoV-19/Nigeria/ED04-CV158/2020	EPI_ISL_527876	2020-03-25	Africa / Nigeria / Enugu	Human	Original			Illumina MiSeq	viral-ngs			A	S
hCoV-19/Nigeria/ED06-CV159/2020	EPI_ISL_527877	2020-03-25	Africa / Nigeria / Enugu	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (3.09% of overall sequence).	warn	A	S
hCoV-19/Nigeria/ED07-CV160/2020	EPI_ISL_527878	2020-03-31	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs			B.40	V
hCoV-19/Nigeria/ED1010-CV215/2020	EPI_ISL_527879	2020-05-04	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/ED18-CV161/2020	EPI_ISL_527880	2020-03-25	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs			B.1	G
hCoV-19/Nigeria/ED20-CV162/2020	EPI_ISL_527881	2020-03-30	Africa / Nigeria / Delta	Human	Original			Illumina MiSeq	viral-ngs			B.1	G
hCoV-19/Nigeria/ED25-CV163/2020	EPI_ISL_527882	2020-05-09	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs			B.1	G
hCoV-19/Nigeria/ED32-CV164/2020	EPI_ISL_527883	2020-05-18	Africa / Nigeria / Akwa-Ibom	Human	Original			Illumina MiSeq	viral-ngs			B.1	G
hCoV-19/Nigeria/ED46-CV165/2020	EPI_ISL_527884	2020-04-24	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/ED48-CV193/2020	EPI_ISL_527885	2020-04-26	Africa / Nigeria / Edo	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (2.54% of overall sequence). Insertion of 12 nucleotides when compared to the reference sequence.	warn	B.1	G
hCoV-19/Nigeria/EK291-CV115/2020	EPI_ISL_527887	2020-06-02	Africa / Nigeria / Ekiti	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/ON595-CV121/2020	EPI_ISL_527888	2020-06-03	Africa / Nigeria / Ondo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/ON705-CV153/2020	EPI_ISL_527889	2020-06-09	Africa / Nigeria / Ondo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1.1	GR
hCoV-19/Nigeria/ON752-CV144/2020	EPI_ISL_527890	2020-06-11	Africa / Nigeria / Ondo	Human	Original			Illumina MiSeq	viral-ngs	Gap of 6 nucleotides when compared to the reference sequence.	info	B.1	GH
hCoV-19/Nigeria/ON920-CV152/2020	EPI_ISL_527891	2020-06-16	Africa / Nigeria / Ondo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/ON969-CV145/2020	EPI_ISL_527892	2020-06-17	Africa / Nigeria / Ondo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OS523-CV53/2020	EPI_ISL_527893	2020-05-11	Africa / Nigeria / Osun	Human	Original			Illumina MiSeq	viral-ngs			B.1.22	GH
hCoV-19/Nigeria/OY592-CV167/2020	EPI_ISL_527898	2020-06-10	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.336	GH
hCoV-19/Nigeria/OY595-CV168/2020	EPI_ISL_527899	2020-06-09	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (3.44% of overall sequence).	warn	B.1.336	GH
hCoV-19/Nigeria/OY598-CV169/2020	EPI_ISL_527900	2020-06-09	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (2.47% of overall sequence). Insertion of 13 nucleotides when compared to the reference sequence.	warn	B.1.1	GR
hCoV-19/Nigeria/OY605-CV170/2020	EPI_ISL_527901	2020-06-12	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY608-CV172/2020	EPI_ISL_527903	2020-06-11	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY612-CV173/2020	EPI_ISL_527904	2020-06-13	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY616-CV174/2020	EPI_ISL_527905	2020-06-12	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY625-CV182/2020	EPI_ISL_527909	2020-06-13	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs	Stretches of NNNs (1.18% of overall sequence).	warn	B.1.1	GR
hCoV-19/Nigeria/OY626-CV183/2020	EPI_ISL_527910	2020-06-13	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY627-CV184/2020	EPI_ISL_527911	2020-06-13	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY628-CV185/2020	EPI_ISL_527912	2020-06-13	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/OY633-CV189/2020	EPI_ISL_527914	2020-06-16	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1.71	GR
hCoV-19/Nigeria/OY636-CV192/2020	EPI_ISL_527915	2020-06-17	Africa / Nigeria / Oyo	Human	Original			Illumina MiSeq	viral-ngs			B.1.1	GR
hCoV-19/Nigeria/NG57839/2020	EPI_ISL_654794	2020-03-22	Africa / Nigeria	Human	Original	Nasopharyngeal and oropharyngeal swab		Sanger dideoxy sequencing				B.1.1.487	GR
hCoV-19/Nigeria/KD-CV233/2020	EPI_ISL_729920	2020-04-20	Africa / Nigeria / Kaduna State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.462	GH
hCoV-19/Nigeria/FC-CV234/2020	EPI_ISL_729921	2020-05-02	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.0	Stretches of NNNs (1.17% of overall sequence).	warn	A	S
hCoV-19/Nigeria/NI-CV237/2020	EPI_ISL_729923	2020-06-01	Africa / Nigeria / Niger State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1.484	GR
hCoV-19/Nigeria/FC-CV238/2020	EPI_ISL_729924	2020-06-02	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.467	GH
hCoV-19/Nigeria/NA-CV239/2020	EPI_ISL_729925	2020-06-11	Africa / Nigeria / Nasarawa State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1.484	GR
hCoV-19/Nigeria/NA-CV240/2020	EPI_ISL_729926	2020-05-31	Africa / Nigeria / Nasarawa State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1.484	GR
hCoV-19/Nigeria/BE-CV243/2020	EPI_ISL_729928	2020-07-05	Africa / Nigeria / Benue State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.467	GH
hCoV-19/Nigeria/NI-CV244/2020	EPI_ISL_729929	2020-07-02	Africa / Nigeria / Niger State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.462	GH
hCoV-19/Nigeria/FC-CV245/2020	EPI_ISL_729930	2020-07-07	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1	GR
hCoV-19/Nigeria/FC-CV246/2020	EPI_ISL_729931	2020-07-07	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.462	GH
hCoV-19/Nigeria/FC-CV247/2020	EPI_ISL_729932	2020-07-08	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.0			L.3	GR
hCoV-19/Nigeria/FC-CV250/2020	EPI_ISL_729935	2020-07-10	Africa / Nigeria / Abuja	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1	GR
hCoV-19/Nigeria/KN-CV252/2020	EPI_ISL_729937	2020-04-25	Africa / Nigeria / Kano State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1.487	GR
hCoV-19/Nigeria/LA-CV253/2020	EPI_ISL_729938	2020-04-20	Africa / Nigeria / Lagos State	Human	Original			Illumina MiSeq	Viral-ngs v2.0	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.8	G
hCoV-19/Nigeria/LA-CV255/2020	EPI_ISL_729939	2020-04-20	Africa / Nigeria / Lagos State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1.487	GR
hCoV-19/Nigeria/LA-CV256/2020	EPI_ISL_729940	2020-04-20	Africa / Nigeria / Lagos State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1.487	GR
hCoV-19/Nigeria/LA-CV257/2020	EPI_ISL_729941	2020-04-09	Africa / Nigeria / Lagos State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1	GH
hCoV-19/Nigeria/KO-CV258/2020	EPI_ISL_729942	2020-04-25	Africa / Nigeria / Kogi State	Human	Original			Illumina MiSeq	Viral-ngs v2.0			B.1.1	GR
